"DATA ASSINATURA CONTRATO";"DATA PUBLICAÇÃO DOU";"DATA INÍCIO VIGÊNCIA";"DATA FIM VIGÊNCIA";"ORGÃO SUPERIOR CONTRATANTE";"ÓRGÃO / ENTIDADE VINCULADA CONTRATANTE";"UNIDADE GESTORA CONTRATANTE";"FORMA DE CONTRATAÇÃO";"GRUPO DE OBJETO DE CONTRATAÇÃO";"NÚMERO DO CONTRATO";"NOME DO FORNECEDOR";"CPF / CNPJ DO FORNECEDOR";"SITUAÇÃO";"VALOR CONTRATADO";
"06/02/2024";"09/02/2024";"06/02/2024";"06/06/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH CHC-UFPR";"Pregão";"Outros";"00097/2023";"MESSER GASES LTDA.";"60.619.202/0035-97";"Não se aplica";"0,00";
"11/01/2024";"13/01/2024";"12/01/2024";"06/11/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DO PIAUI";"Pregão - Registro de Preço";"Outros";"00001/2024";"MEDICAL LIFE COMERCIO DE PRODUTOS HOSPITALARES LTDA";"14.361.780/0001-00";"Não se aplica";"0,00";
"27/03/2024";"01/04/2024";"28/03/2024";"29/07/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Pregão - Registro de Preço";"Outros";"00002/2024";"HYBRIDA PRODUTOS HOSPITALARES LTDA";"12.544.921/0001-02";"Não se aplica";"0,00";
"09/02/2024";"15/02/2024";"15/02/2024";"06/11/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DO PIAUI";"Pregão - Registro de Preço";"Outros";"00007/2024";"MEDICAL LIFE COMERCIO DE PRODUTOS HOSPITALARES LTDA";"14.361.780/0001-00";"Não se aplica";"0,00";
"27/03/2024";"28/03/2024";"28/03/2024";"22/06/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Pregão - Registro de Preço";"Outros";"00003/2024";"SISPACK MEDICAL LTDA.";"54.565.478/0001-98";"Não se aplica";"0,00";
"27/03/2024";"12/04/2024";"28/03/2024";"28/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO GAFFREE E GUINLE";"Pregão";"Outros";"00002/2024";"WHITE MARTINS GASES INDUSTRIAIS LTDA";"35.820.448/0007-21";"Não se aplica";"0,00";
"27/03/2024";"28/03/2024";"27/03/2024";"09/02/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE SANTA MARIA";"Pregão - Registro de Preço";"Outros";"00014/2024";"AIR LIQUIDE BRASIL LTDA";"00.331.788/0065-83";"Não se aplica";"0,00";
"09/02/2024";"15/02/2024";"09/02/2024";"04/05/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE SANTA MARIA";"Pregão - Registro de Preço";"Materiais";"00011/2024";"DELF DISTRIBUIDORA DE MEDICAMENTOS LTDA";"05.922.826/0001-21";"Não se aplica";"0,00";
"09/02/2024";"12/02/2024";"09/02/2024";"09/02/2025";"Ministério do Meio Ambiente";"Instituto Chico Mendes de Conservação da Biodiversidade";"INSTITUTO CHICO MENDES - SEDE";"Inexigibilidade de Licitação";"Outros";"00004/2024";"ANDERSON LOPES DE PAULA";"***.990.678-**";"Não se aplica";"0,00";
"09/04/2024";"10/04/2024";"09/04/2024";"07/12/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Pregão - Registro de Preço";"Outros";"00004/2024";"BIOVALIC COMERCIO DE EQUIPAMENTOS MEDICOS LTDA.";"08.924.875/0001-91";"Não se aplica";"0,00";
"11/01/2024";"12/01/2024";"15/01/2024";"15/01/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFJF";"Pregão - Registro de Preço";"Outros";"00001/2024";"UNIT - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LIMITADA";"66.969.262/0001-77";"Não se aplica";"0,00";
"27/03/2024";"28/03/2024";"01/04/2024";"01/04/2026";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DE CLINICAS DE UBERLANDIA";"Pregão";"Outros";"00002/2024";"GJO COMERCIO E REPRESENTACOES LTDA";"25.294.299/0001-65";"Não se aplica";"0,00";
"03/04/2024";"11/04/2024";"03/04/2024";"27/03/2025";"Ministério da Defesa";"Comando do Exército";"HOSPITAL MILITAR DE AREA DE PORTO ALEGRE";"Pregão - Registro de Preço";"Outros";"00001/2024";"LABINBRAZ COMERCIAL LTDA";"73.008.682/0001-52";"Não se aplica";"0,00";
"12/04/2024";"15/04/2024";"12/04/2024";"11/04/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE LAGARTO";"Pregão - Registro de Preço";"Outros";"00001/2024";"FRESENIUS MEDICAL CARE LTDA";"01.440.590/0001-36";"Não se aplica";"0,00";
"13/03/2024";"20/03/2024";"15/03/2024";"15/03/2025";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DE CARDIOLOGIA";"Pregão - Registro de Preço";"Outros";"00010/2024";"WEBMED SOLUCOES EM SAUDE LTDA";"05.731.550/0001-02";"Não se aplica";"0,00";
"19/01/2024";"22/01/2024";"09/02/2024";"09/02/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIV. DR. MIGUEL RIET CORREA JR.";"Pregão";"Outros";"00001/2024";"QUALYS DIAGNOSTICOS COMERCIO S.A.";"00.512.932/0001-13";"Não se aplica";"0,00";
"16/04/2024";"19/04/2024";"18/04/2024";"18/10/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Pregão - Registro de Preço";"Outros";"00005/2024";"F CARDOSO E CIA LTDA";"04.949.905/0001-63";"Não se aplica";"0,00";
"25/03/2024";"01/04/2024";"25/03/2024";"24/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Pregão - Registro de Preço";"Outros";"00008/2024";"MC FARMA LTDA";"41.098.601/0001-66";"Não se aplica";"0,00";
"19/04/2024";"22/04/2024";"19/04/2024";"18/04/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFS";"Pregão - Registro de Preço";"Outros";"00012/2024";"SAMTRONIC INDUSTRIA E COMERCIO LTDA";"58.426.628/0001-33";"Não se aplica";"0,00";
"19/04/2024";"22/04/2024";"04/05/2024";"04/05/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIV. DR. MIGUEL RIET CORREA JR.";"Pregão";"Outros";"00002/2024";"AIR LIQUIDE BRASIL LTDA";"00.331.788/0027-58";"Não se aplica";"0,00";
"18/01/2024";"25/01/2024";"18/01/2024";"11/12/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DO PIAUI";"Pregão - Registro de Preço";"Outros";"00002/2024";"DMG COMERCIO E REPRESENTACOES DE MATERIAL MEDICO HOSPITALAR LTDA";"36.753.739/0001-11";"Não se aplica";"0,00";
"31/01/2024";"02/02/2024";"02/02/2024";"06/09/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE SANTA MARIA";"Pregão";"Outros";"00009/2024";"BAXTER HOSPITALAR LTDA";"49.351.786/0011-52";"Não se aplica";"0,00";
"27/03/2024";"28/03/2024";"28/03/2024";"11/10/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"COMPLEXO HOSP UNIVERSIT DA UFPA (HUBFS/HUJBB)";"Pregão - Registro de Preço";"Outros";"00001/2024";"EXPANSAO COMERCIO DE PRODUTOS DE DIAGNOSTICO LTDA";"06.242.018/0001-86";"Não se aplica";"0,00";
"31/01/2024";"01/02/2024";"01/02/2024";"01/02/2025";"Ministério da Educação";"Instituto Federal do Ceará";"CAMPUS MARACANAU/IFCE";"Pregão";"Outros";"00002/2024";"DANIELA DE SOUZA CASTELO";"***.781.153-**";"Não se aplica";"0,00";
"11/01/2024";"15/01/2024";"01/02/2024";"01/02/2025";"Ministério da Agricultura, Pecuária e Abastecimento";"Instituto Nacional de Colonização e Reforma Agrária";"SUPERINTENDENCIA REG. DE RONDONIA - SR(RO)";"Pregão - Registro de Preço";"Outros";"00024/2024";"DIAMOND SERVICOS DE LIMPEZA E MAO DE OBRA LTDA";"08.538.011/0001-31";"Não se aplica";"0,00";
"19/03/2024";"19/04/2024";"19/03/2024";"19/03/2025";"Ministério da Defesa";"Comando do Exército";"25 BATALHAO LOGISTICO (ES)";"Pregão - Registro de Preço";"Outros";"00019/2023";"SANDRA REGINA SEVIDANES RODRIGUES";"***.875.207-**";"Não se aplica";"0,00";
"05/04/2024";"08/04/2024";"05/04/2024";"18/06/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão";"Outros";"00058/2024";"CEPHEID BRASIL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS DE DIAGNOSTICOS LTD";"18.628.083/0002-04";"Não se aplica";"0,00";
"02/02/2024";"22/02/2024";"02/02/2024";"02/02/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DE DOENCAS TROPICAIS";"Pregão - Registro de Preço";"Outros";"00002/2024";"SAMTRONIC INDUSTRIA E COMERCIO LTDA";"58.426.628/0001-33";"Não se aplica";"0,00";
"11/03/2024";"12/03/2024";"13/03/2024";"13/03/2026";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DE CLINICAS DE UBERLANDIA";"Pregão";"Outros";"00001/2024";"AGMASHI COMERCIO DE MATERIAL MEDICO E SERVICOS DE COBRANCAS LTDA";"08.234.423/0001-88";"Não se aplica";"0,00";
"30/01/2024";"02/02/2024";"30/01/2024";"30/01/2025";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO LOGISTICO DA AERONAUTICA";"Pregão";"Outros";"00001/2024";"JOAO EMILIO DE OLIVEIRA FILHO";"***.957.857-**";"Não se aplica";"0,00";
"12/04/2024";"15/04/2024";"15/04/2024";"15/05/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFJF";"Pregão";"Outros";"00002/2024";"BAXTER HOSPITALAR LTDA";"49.351.786/0011-52";"Não se aplica";"0,00";
"19/04/2024";"22/04/2024";"19/04/2024";"02/08/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00062/2024";"BIOSCARE COMERCIO DE MATERIAIS MEDICOS HOSPITALARES LTDA";"04.821.115/0001-06";"Não se aplica";"0,00";
"14/03/2024";"18/03/2024";"15/03/2024";"15/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO GAFFREE E GUINLE";"Pregão - Registro de Preço";"Materiais";"00001/2024";"STERI  GRAU PRODUTOS HOSPITALARES LTDA";"05.746.252/0001-88";"Não se aplica";"0,00";
"07/03/2024";"07/03/2025";"07/03/2024";"07/03/2025";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INTEND. DA MARINHA EM S.PEDRO DA AL";"Pregão - Registro de Preço";"Outros";"00600/2024";"BIOSYS LTDA";"02.220.795/0001-79";"Não se aplica";"0,00";
"07/03/2024";"13/03/2024";"07/03/2024";"07/03/2025";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INTEND. DA MARINHA EM S.PEDRO DA AL";"Pregão - Registro de Preço";"Outros";"00500/2024";"BIOPLASMA PRODUTOS PARA LABORATORIOS E CORRELATOS LTDA";"04.086.552/0001-15";"Não se aplica";"0,00";
"22/03/2024";"26/03/2024";"22/03/2024";"22/03/2025";"Ministério da Defesa";"Comando da Marinha";"CENTRO DE INTEND. DA MARINHA EM S.PEDRO DA AL";"Pregão - Registro de Preço";"Outros";"00700/2024";"LAB BRAX DIAGNOSTICA LTDA";"05.035.010/0001-86";"Não se aplica";"0,00";
"05/03/2024";"11/03/2024";"05/03/2024";"11/12/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00038/2024";"DUC GAS GASES MEDICINAIS E INDUSTRIAIS LTDA";"36.461.952/0001-50";"Não se aplica";"0,00";
"08/03/2024";"15/03/2024";"08/03/2024";"16/11/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00042/2024";"WHITE MARTINS GASES INDUSTRIAIS LTDA";"35.820.448/0007-21";"Não se aplica";"0,00";
"08/03/2024";"15/03/2024";"08/03/2024";"07/12/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00043/2024";"WHITE MARTINS GASES INDUSTRIAIS LTDA";"35.820.448/0007-21";"Não se aplica";"0,00";
"12/03/2024";"15/03/2024";"12/03/2024";"11/12/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Pregão - Registro de Preço";"Outros";"00048/2024";"MESSER GASES LTDA.";"60.619.202/0034-06";"Não se aplica";"0,00";
"03/04/2024";"05/04/2024";"03/04/2024";"03/10/2024";"Ministério da Educação";"Colégio Pedro II";"COLEGIO PEDRO II";"Pregão";"Outros";"00001/2024";"RUAM CARLOS CHAVES GOTARDO";"***.053.507-**";"Não se aplica";"0,00";
"08/01/2024";"22/01/2024";"08/01/2024";"08/01/2025";"Ministério da Defesa";"Comando da Marinha";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"Sem Informação";"Outros";"00600/2023";"NEUROVIDA CUIDADOS MÉDICOS LTDA (SÃO JOÃO MERITI)";"11.965.438/0001-20";"Não se aplica";"0,00";
"08/01/2024";"22/01/2024";"08/01/2024";"08/01/2025";"Ministério da Defesa";"Comando da Marinha";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"Sem Informação";"Outros";"00800/2023";"NEUROVIDA DO RECREIO DOS BANDEIRANTES LTDA";"30.318.354/0001-40";"Não se aplica";"0,00";
"08/01/2024";"22/01/2024";"08/01/2024";"08/01/2025";"Ministério da Defesa";"Comando da Marinha";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"Sem Informação";"Outros";"00700/2023";"NEUROVIDA CUIDADOS MÉDICOS LTDA (FREGUESIA)";"11.965.438/0002-01";"Não se aplica";"0,00";
"11/01/2024";"15/01/2024";"11/01/2024";"08/06/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Sem Informação";"Outros";"00019/2024";"CEI COMERCIO EXPORTACAO E IMP DE MAT MEDICOS LTDA";"40.175.705/0001-64";"Não se aplica";"0,00";
"15/02/2024";"17/02/2024";"15/02/2024";"15/02/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00001/2024";"ST JUDE MEDICAL BRASIL LTDA";"00.986.846/0012-03";"Não se aplica";"0,00";
"19/02/2024";"26/02/2024";"19/02/2024";"19/02/2029";"Ministério da Defesa";"Comando da Aeronáutica";"ESCOLA DE ESPECIALISTAS DE AERONAUTICA";"Sem Informação";"Outros";"00101/2024";"GRUPO ESCOTEIRO DO AR SUBOFICIAL PALMEIRA";"27.491.996/0001-31";"Não se aplica";"0,00";
"01/03/2024";"07/03/2024";"01/03/2024";"01/03/2029";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"80039/2024";"CAIXA ECONOMICA FEDERAL";"00.360.305/0001-04";"Não se aplica";"0,00";
"06/03/2024";"08/03/2024";"06/03/2024";"06/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00006/2024";"CEI COMERCIO EXPORTACAO E IMP DE MAT MEDICOS LTDA";"40.175.705/0001-64";"Não se aplica";"0,00";
