"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";
"02/01/2024";"12/12/2023";"Ministério da Educação";"Instituto Federal do Amazonas";"IFAM - CAMPUS TEFE";"Publicado";"Pregão - Registro de Preço";"Contrato";"00001/2023";
"02/01/2024";"Sem informação";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"Encerrado";"Dispensa de Licitação";"Contrato";"00025/2023";
"02/01/2024";"21/12/2023";"Ministério da Saúde";"Fundação Oswaldo Cruz";"INST.NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00061/2023";
"02/01/2024";"20/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DE CLINICAS DA UFTM";"Publicado";"Pregão - Registro de Preço";"Contrato";"00092/2023";
"02/01/2024";"07/12/2023";"Ministério da Educação";"Fundação Universidade Federal do Mato Grosso";"FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00059/2023";
"02/01/2024";"17/11/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE CANOAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00077/2023";
"02/01/2024";"07/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE CANOAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00076/2023";
"02/01/2024";"05/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO LOGISTICO DA AERONAUTICA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00042/2023";
"02/01/2024";"05/12/2023";"Ministério da Defesa";"Comando do Exército";"19 REGIMENTO DE CAVALARIA MECANIZADO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00002/2023";
"02/01/2024";"22/12/2023";"Ministério da Educação";"Instituto Federal do Mato Grosso do Sul";"INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00023/2023";
"02/01/2024";"28/11/2023";"Ministério da Educação";"Universidade Federal de Minas Gerais";"FACULDADE DE MEDICINA/UFMG";"Evento de Retificação Publicado";"Pregão - Registro de Preço";"Sem informação";"00003/2023";
"02/01/2024";"05/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO LOGISTICO DA AERONAUTICA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00043/2023";
"02/01/2024";"22/12/2023";"Ministério do Turismo";"Instituto do Patrimônio Histórico e Artístico Nacional";"SUPERINTENDENCIA DO IPHAN NO RIO G. NORTE/RN";"Publicado";"Pregão";"Sem informação";"00002/2023";
"02/01/2024";"22/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - ALTO PURUS";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00045/2023";
"02/01/2024";"21/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00099/2023";
"02/01/2024";"22/12/2023";"Justiça do Trabalho";"Justiça do Trabalho - Unidades com vínculo direto";"TRIBUNAL SUPERIOR DO TRABALHO";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00132/2023";
"02/01/2024";"22/12/2023";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"INSTITUTO NACIONAL DE TECNOLOGIA - INT";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00008/2023";
"02/01/2024";"18/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE RECIFE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00091/2023";
"02/01/2024";"20/12/2023";"Ministério da Defesa";"Comando do Exército";"INSTITUTO MILITAR DE ENGENHARIA";"Publicado";"Pregão";"Contrato";"00033/2023";
"02/01/2024";"26/12/2023";"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00050/2023";
"02/01/2024";"20/12/2023";"Ministério da Defesa";"Indústria de Material Bélico do Brasil";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00124/2023";
"02/01/2024";"27/10/2023";"Ministério da Defesa";"Comando do Exército";"9º GRUPAMENTO LOGISTICO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00007/2023";
"02/01/2024";"20/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE FLORIANOPOLIS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00029/2023";
"02/01/2024";"02/01/2024";"Justiça do Trabalho";"Justiça do Trabalho - Unidades com vínculo direto";"TRIBUNAL SUPERIOR DO TRABALHO";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"90001/2024";
"02/01/2024";"23/11/2023";"Ministério da Justiça e Segurança Pública";"Fundo Penitenciário Nacional";"DEPEN - DIRETORIA EXECUTIVA";"Evento de Alteração Publicado";"Pregão";"Contrato";"00044/2023";
"02/01/2024";"12/04/2022";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"HOSPITAL FEDERAL DE BONSUCESSO";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00049/2022";
"02/01/2024";"30/11/2023";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DO GALEAO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00068/2023";
"02/01/2024";"21/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INSTITUTO NACIONAL DO CANCER - RJ";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00300/2023";
"02/01/2024";"12/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"CENTRO LOGISTICO DA AERONAUTICA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00046/2023";
"02/01/2024";"19/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00016/2023";
"02/01/2024";"Sem informação";"Ministério da Economia";"Fundação Instituto Brasileiro de Geografia e Estatística";"UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE";"Encerrado";"Dispensa de Licitação";"Contrato";"00014/2023";
"02/01/2024";"26/10/2023";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE SALVADOR";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00025/2023";
"02/01/2024";"19/12/2023";"Justiça do Trabalho";"Justiça do Trabalho - Unidades com vínculo direto";"TRIBUNAL SUPERIOR DO TRABALHO";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00141/2023";
"02/01/2024";"19/12/2023";"Ministério da Educação";"Universidade Federal do Paraná";"UNIVERSIDADE FEDERAL DO PARANA";"Publicado";"Pregão";"Sem informação";"00112/2023";
"02/01/2024";"06/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00008/2023";
"02/01/2024";"12/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00012/2023";
"02/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/SGE-GCIN";"Publicado";"Dispensa de Licitação";"Sem informação";"00175/2023";
"02/01/2024";"28/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00023/2023";
"02/01/2024";"12/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00013/2023";
"02/01/2024";"19/12/2023";"Ministério da Defesa";"Comando do Exército";"1º DEPOSITO DE SUPRIMENTO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00004/2023";
"02/01/2024";"02/01/2024";"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"INST.FED.SUL-RIO-GRANDENSE/VISCONDE DA GRACA";"Publicado";"Pregão - Registro de Preço";"Contrato";"00003/2023";
"02/01/2024";"15/12/2023";"Ministério da Integração e do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC E DO PARNAIBA";"Divulgado";"Pregão - Registro de Preço";"Sem informação";"00018/2023";
"02/01/2024";"11/10/2023";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE SALVADOR";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00023/2023";
"02/01/2024";"27/12/2023";"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00051/2023";
"02/01/2024";"20/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00202/2023";
"02/01/2024";"29/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00116/2023";
"02/01/2024";"19/12/2023";"Ministério da Educação";"Universidade Federal de Santa Maria";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"Publicado";"Pregão";"Contrato";"00203/2023";
"02/01/2024";"19/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00002/2023";
"02/01/2024";"02/01/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO GETULIO VARGAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00052/2023";
"02/01/2024";"14/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DAS CLINICAS DA UFG";"Evento de Alteração Publicado";"Pregão";"Contrato";"00133/2023";
"02/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/CTAA";"Publicado";"Inexigibilidade de Licitação";"Sem informação";"00001/2023";
"02/01/2024";"Sem informação";"Ministério da Educação";"Instituto Federal Catarinense";"INSTITUTO FEDERAL CATARINENSE - REITORIA";"Evento de Resultado de Julgamento Publicado";"Concorrência";"Contrato";"00001/2023";
"02/01/2024";"30/11/2023";"Ministério da Justiça e Segurança Pública";"Fundação Nacional do Índio";"COORDENACAO REGIONAL DE GUARAPUAVA/PR";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00007/2023";
"02/01/2024";"08/11/2023";"Ministério da Defesa";"Comando do Exército";"51 BATALHAO DE INFANTARIA DE SELVA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00019/2023";
"02/01/2024";"15/12/2023";"Ministério da Defesa";"Comando do Exército";"51 BATALHAO DE INFANTARIA DE SELVA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00008/2023";
